commands,argument,duration,342A,A568,AD7F
reset,,10.0,1,1,1
preheat,,1500.0,1,1,1
start,,0.0,0,0,1
set_production_rate,72.55,300.0,0,0,1
stop,,1200.0,0,0,1
start,,0.0,1,0,0
set_production_rate,64.68,300.0,1,0,0
stop,,3000.0,1,0,0
start,,0.0,0,0,1
set_production_rate,60.74,600.0,0,0,1
start,,0.0,1,0,0
set_production_rate,60.0,0.0,1,0,0
set_production_rate,80.18,300.0,0,0,1
set_production_rate,92.0,300.0,0,0,1
set_production_rate,100.0,0.0,1,0,0
set_production_rate,100.0,300.0,0,0,1
set_production_rate,60.0,0.0,1,0,0
set_production_rate,83.14,300.0,0,0,1
set_production_rate,69.84,0.0,1,0,0
set_production_rate,92.98,300.0,0,0,1
set_production_rate,76.74,300.0,1,0,0
set_production_rate,60.0,300.0,1,0,0
set_production_rate,80.18,300.0,0,0,1
set_production_rate,88.42,0.0,1,0,0
set_production_rate,100.0,300.0,0,0,1
set_production_rate,73.42,300.0,0,0,1
set_production_rate,100.0,0.0,1,0,0
set_production_rate,100.0,300.0,0,0,1
set_production_rate,98.27,300.0,1,0,0
set_production_rate,60.0,0.0,1,0,0
set_production_rate,79.2,300.0,0,0,1
set_production_rate,78.58,0.0,1,0,0
set_production_rate,100.0,300.0,0,0,1
set_production_rate,94.09,300.0,0,0,1
set_production_rate,100.0,0.0,1,0,0
set_production_rate,100.0,300.0,0,0,1
set_production_rate,60.0,0.0,1,0,0
set_production_rate,92.0,300.0,0,0,1
set_production_rate,64.43,300.0,0,0,1
set_production_rate,88.42,0.0,1,0,0
set_production_rate,100.0,300.0,0,0,1
set_production_rate,100.0,300.0,1,0,0
set_production_rate,82.51,300.0,0,0,1
set_production_rate,100.0,2400.0,0,0,1
set_production_rate,98.27,300.0,0,0,1
set_production_rate,100.0,600.0,0,0,1
set_production_rate,60.0,0.0,1,0,0
set_production_rate,99.87,300.0,0,0,1
set_production_rate,66.89,300.0,1,0,0
set_production_rate,70.83,300.0,1,0,0
set_production_rate,60.0,0.0,1,0,0
set_production_rate,93.97,300.0,0,0,1
set_production_rate,83.14,300.0,0,0,1
set_production_rate,69.84,300.0,1,0,0
set_production_rate,74.28,300.0,0,0,1
set_production_rate,69.36,300.0,0,0,1
set_production_rate,100.0,0.0,1,0,0
stop,,300.0,0,0,1
set_production_rate,78.82,0.0,1,0,0
start,,0.0,0,0,1
set_production_rate,65.3,300.0,0,0,1
set_production_rate,70.22,300.0,0,0,1
set_production_rate,89.91,300.0,0,0,1
set_production_rate,73.9,300.0,1,0,0
set_production_rate,100.0,0.0,1,0,0
set_production_rate,100.0,1800.0,0,0,1
set_production_rate,67.75,300.0,1,0,0
set_production_rate,60.0,0.0,1,0,0
set_production_rate,95.94,300.0,0,0,1
set_production_rate,72.8,300.0,1,0,0
stop,,0.0,1,1,1
